DomInio,,CODIGO,CREDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1061,10,1AB,PROJETO ESPECIFICO PP,,3,,5,,07-11/07-13,VIRTUAL/F100,11 EPP ,Claudia Kayat 5 Augusto Seibel 0 Felipe Rangel 3 Daniel Malaguti 1 Claudio MagalhAes 1,7¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1062,10,1AA,PROJETO FINAL PP,,3,,,6,07-11/07-13,F 100 (apoio LAMP 6»),10 EPP,Felipe Rangel 5 Claudia Kayat 2 Augusto Seibel 0 Gabriella Vaccari 3 ,8¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1062,10,1AB,PROJETO FINAL PP,,3,,,6,07-11/07-13,F100 (apoio LAMP 6»),10 EPP,Augusto Seibel 5 Felipe Rangel 0 Claudia Kayat 3  Gabriella Vaccari 2 ,8¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1102,2,1AA,HISTORIA DO DESIGN II,,3,,,,11-13,VIRTUAL,5 ECV/5 EPP/5 DIG/5 MOD/10 QQC,Joaquim Redig,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1104,2,1AA,HISTORIA DOS ESTILOS ,,,,5,,13-15,VIRTUAL,20 ART /10 QQC,Silvia Helena ,Optativa de HistOria da Arte e do Design,,,,,,,,,,,,,,,,,,,,,,,
Tecnologias e MIdias Digitais ,,DSG 1105,2,1AA,NOVAS TECNOLOGIAS,,,4,,,11-13,VIRTUAL,30 ART ,Alexandre Cantini,8¼,,,,,,,,,,,,,,,,,,,,,,,
Tecnologias e MIdias Digitais ,,DSG 1105,2,1AB,NOVAS TECNOLOGIAS,,,4,,,09-11,VIRTUAL,25 ART / 5 QQC,Leonardo Cardarelli,8¼,,,,,,,,,,,,,,,,,,,,,,,
Tecnologias e MIdias Digitais ,,DSG 1105,2,1AC,NOVAS TECNOLOGIAS,,,,5,,09-11,VIRTUAL,30 ART ,Flavio Carvalho,8¼,,,,,,,,,,,,,,,,,,,,,,,
Tecnologias e MIdias Digitais ,,DSG 1105,2,1AD,NOVAS TECNOLOGIAS,,,4,,,09-11,VIRTUAL,25 ART / 5 QQC ,Claudia Kayat,8¼,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,DSG 1131,2,1AA,INT. A GRAFICA,,3,,,,07-09,IAG 4,20 QQC,Guto Lins ,2¼ para CV - 5¼ para DIG e PP - 3¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,DSG1967,DSG 1143,3,1AA,EDICAO POS PROD IMAGENS EM MOV,,,,,6,07-10,K 015,20 ART ,Eliane Garcia,4¼ para CV e PP - 6¼ para DIG e MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1143,3,1AB,EDICAO POS PROD IMAGENS EM MOV,,3,,,,07-10,K 015,20 ART ,Sanseverino,4¼ para CV e PP - 6¼ para DIG e MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1143,3,1AC,EDICAO POS PROD IMAGENS EM MOV,,,4,,,13-16,S/sala,20 ART ,Monica Frota ,4¼ para CV e PP - 6¼ para DIG e MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1143,3,1AD,EDICAO POS PROD IMAGENS EM MOV,,,,,6,11-14,ART 1,20 ART ,Monica Frota ,4¼ para CV e PP - 6¼ para DIG e MOD,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1144,3,1AA,MODELAGEM VIRTUAL,2,,,,,13-16,T 01,15 ART / 1 QQC,Leonardo Cardarelli,3¼ para CV, PP e DIG - 5¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1144,3,1AB,MODELAGEM VIRTUAL,,3,,,,13-16,T 01,15 ART / 1 QQC,Helena Cavalcanti,3¼ para CV, PP e DIG - 5¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1145,3,1AA,MODELAGEM VIRTUAL II,2,,,,,07-10,K 015,10 EPP/ 8 ART,Ricardo Fontes,6¼ para PP optativa de representaCAo em PP,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1302,2,1AA,TENDENCIAS EM COMUNICACAO VISUAL,,,,5,,09-11,VIRTUAL,22 ECV,Flavia Nizia,6¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1303,3,1AA,COR NA COMUNIC VISUAL,,3,,,,15-18 ,K 017,20 ART//5 QQC,Claudio Werneck ,3¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,DSG1857,DSG 1304,2,1AA,ERGONOMIA INFORMACIONAL,,3,,,,11-13,L260,20 ART ,Claudia Stamato ,4¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1305,3,1AA,BIONICA PARA COMUNICACAO VISUAL, ,,4,,,10-13,ART 4,20 ECV ,Nathalia Cavalcante ,6¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,DSG 1311,4,1AA,GRAFICA,2,,4,,,09-11,K 017,20 ECV ,Fabiana Prado,4¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1312,3,1AA,SISTEMAS DE PROD. GRAFICA,,,,5,,08-11 ,K 017,20 ECV ,Gilberto Mendes,5¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1321,3,1AA,LING. EM COM.VISUAL,,3,,,,16-19 ,ART 3,20 QQC ,Simone Formiga,3¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1322,2,1AA,IMAGEM REPRESENTACAO CV,2,,,,,11-13,VIRTUAL,20 ECV ,Izabel Oliveira ,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1322,2,1AB,IMAGEM REPRESENTACAO CV,,,,,6,09-11,VIRTUAL,20 ECV ,Cristine Nogueira,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1323,4,1AA,TEORIAS E ENFOQUES CRITICOS NA CV,,,4,,6,11-13,VIRTUAL/ L422,20 ECV ,Simone Formiga ,6¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1323,4,1AB,TEORIAS E ENFOQUES CRITICOS NA CV,,3,,5,,07-09,IAG 3/VIRTUAL,20 ECV ,Romulo Matteoni,6¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,Ultumo semestre,DSG 1331,2,1AA,TIPOGRAFIA I,2,,,,,11 -13,IAG 4,20 ART ,Evelyn Grumach,4¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1332,2,1AA,TIPOGRAFIA II ,,,,5,,09-11,L 532,20 ECV ,FAbio Lopez,8¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1332,2,1AB,TIPOGRAFIA II ,,,,5,,11-13,ART 1,20 ECV ,AndrE BeltrAo,8¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1334,4,1AA,DESIGN E COMUNICACAO,2,,4,,,11-13,IAG 3,20 ART ,Vera Nojima,Optativa para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1335,4,1AA,LINGUAGEM EM COMUNICACAO VISUAL II,,3,,5,,13-15,L 422,10 ART /10 QQC,Simone Formiga,Optativa para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1336,2,1AA,ENCADERNACAO,2,,,,,11-13,K 017,15 ART / 5 QQC,Cristina Viana ,Optativa para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1336,2,1AB,ENCADERNACAO,2,,,,,13-15,K 017,15 ART / 5 QQC,Cristina Viana ,Optativa para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1337,4,1AA,BRANDING - CONSTRUCAO DA MARCA  ,,,4,,6,07-09,IAG 3,15 ART / 5 QQC,Guto Lins ,Optativa para CV ,,,,,,,,,,,,,,,,,,,,,,,
Tecnologias e MIdias Digitais ,,DSG 1403,2,1AA,ERGONOMIA E INT HUMANO-COMPUTADOR,,,,5,,11-13,VIRTUAL,20 ART / 4 QQC (4),Horista a contratar / Claudia Stamato,4¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1411,2,1AA,DESIGN E EXPANSAO DOS SENTIDOS,,3,,,,13-15,F 100,17 DIG / 3 ART ,Alexandre Cantini ,4¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1412,4,1AA,INTERFACES FISICAS E LOGICAS,,,4,,6,13-15,LIFE,17 DIG / 1 QQC (39),Luiz Ludwig,7¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1412,4,1AB,INTERFACES FISICAS E LOGICAS,,,4,,6,11-13,LIFE,17 DIG / 1 QQC ,JoAo Bonelli,7¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1413,4,1AA,DESIGN DE OBJETOS INTELIGENTES,2,,,,,10-13/1SHF,LIFE,20 DIG,Barbara Castro,8¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1413,4,1AB,DESIGN DE OBJETOS INTELIGENTES,2,,,,,13-16/1SHF,LIFE,20 DIG ,Luiz Ludwig,8¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1414,3,1AA,HISTORIAS DAS MIDIAS DIGITAIS INTERATIVAS ,,,4,,,09-12,VIRTUAL,20 ART/ 2 QQC,Joy Till > Horista a contratar (Cantini?),Optativa de HistOria da Arte e do Design,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1415,3,1AA,SONORIZACAO E AUDIO DIGITAIS,,,4,,,07-10,K 015 ,15 DIG,Werther Azevedo,8¼ para DIG OPTATIVA,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1422,3,1AA,COMPUTACAO PARA ANIMACAO,,,,5,,08-11,T 01,5 DIG / 5 QQC/ 5 ART ,Leonardo Cardarelli,5¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,COdigo novo,DSG 1422,3,1AB,COMPUTACAO PARA ANIMACAO,2,,,,,10-13,T 01,5 DIG / 5 QQC/ 5 ART ,Helena Cavalcanti,5¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1421,3,1AA,PRINCIPIOS DE ANIMACAO,,3,,,,13-16,LAIA,20 QQC ,Marcos Amarante,,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1423,2,1AA,HISTORIA  DA ANIMACAO,,,4,,,17-19,VIRTUAL,20 QQC ,Marcos Amarante,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1423,2,1AB,HISTORIA  DA ANIMACAO,,,4,,,13-15,VIRTUAL,20 QQC ,Marcos Amarante,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1424,3,1AA,ANIMACAO ,,,,,6,13-16,LAIA,10 ART / 7 QQC,Claudia Bolshaw,5¼/8¼ para DIG OPTATIVA,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1424,3,1AB,ANIMACAO ,,,4,,,13-16,LAIA,10 ART / 7 QQC,Claudia Bolshaw,5¼/8¼ para DIG OPTATIVA,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1432,3,1AA,COMP. GRAF. E TEC. JOGOS ELET,,,,5,,11-14,T 01,15 DIG /5 QQC,Helena Cavalcanti,6 ¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1432,3,1AB,COMP. GRAF. E TEC. JOGOS ELET,,,,,6,13-16,T 01,15 DIG /5 QQC,Leonardo Cardarelli,6 ¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1433,3,1AA,DESIGN DE JOGOS ,,3,,,,13-16,K 015,15 QQC,Guilherme Xavier,5¼/8¼ para DIG OPTATIVA,,,,,,,,,,,,,,,,,,,,,,,
Tecnologias e MIdias Digitais ,Ultimo semestre ,DSG 1441,4,1AA,HIPERMIDIA,,3,,5,,11-13,ART 3/VIRTUAL,10 ART/10 QQC,Marcelo Pereira ,6¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1442,3,1AA,NARRATIVA EM MULTIMIDIA ,2,,,,,11-14,VIRTUAL,10 ART/10 QQC,Rian Rezende,5¼/8¼ para DIG OPTATIVA,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1502,2,1AA,TENDENCIAS EM DESIGN DE MODA,,3,,,,11-13,VIRTUAL,11 MOD /9 QQC,Priscila Andrade,6¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1504,2,1AA,ERGONOMIA E VESTUARIO,,,4,,,09-11,VIRTUAL,20 ART (5),Claudia Vianna,4¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre ,DSG 1513,2,1AA,DESENHO TECNICO DE VESTUARIO,,,4,,,13-15,VIRTUAL,20 ART ,Claudia Vianna,4¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1515,2,1AA,TEC. DE COSTURA,,,,,6,11-13,LAB MOD,10 MOD/ 10 ART ,Walvyker Souza,5¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre ,DSG 1516,3,1AA,DESENHO DE MODA aux por comp. - CAD,,3,,,,10-13,K 015 ,20 MOD,Claudia Vianna ,6¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1517,3,1AA,DESIGN DE ESTAMPARIA ,,,,5,,13-16,K 017,12 MOD/ 8 QQC,Priscila Andrade ,5¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1518,4,1AA,TECNOLOGIA TEXTIL,,,,,6,07-11,ART 1,20 MOD,Horista a contratar ,6¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1519,2,1AA,ALFAIATARIA,,,,,6,15-17,LAB MOD,20 ART ,Walvyker Souza,8¼ Optativa de design de moda ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1531,2,1AA,HISTORIA DA INDUMENTARIA,,3,,,,09-11,VIRTUAL,13 MOD /10 ACN/ 2 QQC,Silvia Helena ,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1532,2,1AA,HISTORIA DA MODA CONTEMPORåNEA I,,,,,6,09-11,VIRTUAL,20 MOD/ 5 QQC,Daniela Oliveira,7¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1533,2,1AA,HISTORIA DA MODA CONTEMPORåNEA II,,,,5,,07-09,VIRTUAL,10 ART/ 10 QQC,Daniela Oliveira,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1534,2,1AA,ANTROPOLOGIA DA MODA ,,,4,,,11-13,VIRTUAL,10 ART/ 10 QQC,Silvia Helena ,8¼ para MOD Optativa de design de moda ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1535,2,1AA,DESENHO DE MODA,,,,5,,09-11,ART 3,15 ART / 5 QQC,Horista a contratar ,4¼ para MOD Optativas de desenho,,,,,,,,,,,,,,,,,,,,,,,
Artes do EspetAculo,,DSG 1537,2,1AA ,FIGURINO,,,,,6,11-13,ART 2,10 ART / 5 QQC / 10 ACN,Silvia Helena ,8¼ Optativa de design de moda ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1538,2,1AA,HISTORIA DA MODA BRASILEIRA ,,,,,6,09-11,VIRTUAL,15 ART / 5 QQC,Silvia Helena ,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1551,4,1AA,DESIGN DE ADORNOS PESSOAIS,,3,,5,,11-13/ 11-13,VIRTUAL/L 422,20 ART ,Irina AragAo,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1552,2,1AA,HISTORIA DO ADORNO PESSOAL I,,,4,,,11-13,VIRTUAL,15 ART / 5 QQC,Irina AragAo,Optativas de HistOria da Arte e do Design,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1602,2,1AA,TENDENCIAS EM DESIGN DE PRODUTO,,,,5,,11-13,VIRTUAL,10 EPP/10 QQC,Flavio Carvalho,6¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,DSG 1604,2,1AA,ERGONOMIA DO PRODUTO,,,,5,,09-11,VIRTUAL,20 ART ,Claudia Stamato,4¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,DSG 1605,3,1AA,BIONICA ,,3,,,,11-14,ART 2,12 EPP/ 08 QQC,JoAo Victor,6¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,DSG 1612,3,1AA,REPRESENTACAO EM VOLUME II,2,,,,,13-16,K 008 e LAMP,10 EPP,Gabriella Vaccari,3¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre 2 semestre,DSG 1613,2,1AA,REPRESENTACAO EM VOLUME III,2,,,,,11-13,K 008 e LAMP,20 EPP,Gabriella Vaccari,8» para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre 2 semestre,DSG 1622,2,1AA,MATERIAIS E PROCES. DE PROD I,,,,,,SHF,VIRTUAL,2 EPP (2),Claudia Kayat,5¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre 2 semestre,DSG 1623,4,1AA,MATERIAIS E PROCES. DE PROD II,,,,,6,07-11,IAG 4,20 EPP,Marco AntOnio ,6¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre 2 semestre,DSG 1631,2,1AA,ESTRUTURA E MECANISMO ,,,,5,,09-11,IAG 4,20 EPP,Leonidas Moraes,5¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
